S 38a12c,1 miss 
L 38a140,8 miss 
L 38a124,4 hit 
L 38a120,4 hit 
L 30a120,4 miss eviction 
S 34a120,4 miss eviction 
L 30a124,4 miss eviction 
S 34a1a0,4 miss 
L 30a128,4 hit 
S 34a220,4 miss 
L 30a12c,4 hit 
S 34a2a0,4 miss 
L 30a130,4 hit 
S 34a320,4 miss 
L 30a134,4 hit 
S 34a3a0,4 miss 
L 30a138,4 hit 
S 34a420,4 miss 
L 30a13c,4 hit 
S 34a4a0,4 miss 
L 30a1a0,4 miss eviction 
S 34a124,4 miss eviction 
L 30a1a4,4 hit 
S 34a1a4,4 miss eviction 
L 30a1a8,4 miss eviction 
S 34a224,4 hit 
L 30a1ac,4 hit 
S 34a2a4,4 hit 
L 30a1b0,4 hit 
S 34a324,4 hit 
L 30a1b4,4 hit 
S 34a3a4,4 hit 
L 30a1b8,4 hit 
S 34a424,4 hit 
L 30a1bc,4 hit 
S 34a4a4,4 hit 
L 30a220,4 miss eviction 
S 34a128,4 hit 
L 30a224,4 hit 
S 34a1a8,4 miss eviction 
L 30a228,4 hit 
S 34a228,4 miss eviction 
L 30a22c,4 miss eviction 
S 34a2a8,4 hit 
L 30a230,4 hit 
S 34a328,4 hit 
L 30a234,4 hit 
S 34a3a8,4 hit 
L 30a238,4 hit 
S 34a428,4 hit 
L 30a23c,4 hit 
S 34a4a8,4 hit 
L 30a2a0,4 miss eviction 
S 34a12c,4 hit 
L 30a2a4,4 hit 
S 34a1ac,4 hit 
L 30a2a8,4 hit 
S 34a22c,4 miss eviction 
L 30a2ac,4 hit 
S 34a2ac,4 miss eviction 
L 30a2b0,4 miss eviction 
S 34a32c,4 hit 
L 30a2b4,4 hit 
S 34a3ac,4 hit 
L 30a2b8,4 hit 
S 34a42c,4 hit 
L 30a2bc,4 hit 
S 34a4ac,4 hit 
L 30a320,4 miss eviction 
S 34a130,4 hit 
L 30a324,4 hit 
S 34a1b0,4 hit 
L 30a328,4 hit 
S 34a230,4 hit 
L 30a32c,4 hit 
S 34a2b0,4 miss eviction 
L 30a330,4 hit 
S 34a330,4 miss eviction 
L 30a334,4 miss eviction 
S 34a3b0,4 hit 
L 30a338,4 hit 
S 34a430,4 hit 
L 30a33c,4 hit 
S 34a4b0,4 hit 
L 30a3a0,4 miss eviction 
S 34a134,4 hit 
L 30a3a4,4 hit 
S 34a1b4,4 hit 
L 30a3a8,4 hit 
S 34a234,4 hit 
L 30a3ac,4 hit 
S 34a2b4,4 hit 
L 30a3b0,4 hit 
S 34a334,4 miss eviction 
L 30a3b4,4 hit 
S 34a3b4,4 miss eviction 
L 30a3b8,4 miss eviction 
S 34a434,4 hit 
L 30a3bc,4 hit 
S 34a4b4,4 hit 
L 30a420,4 miss eviction 
S 34a138,4 hit 
L 30a424,4 hit 
S 34a1b8,4 hit 
L 30a428,4 hit 
S 34a238,4 hit 
L 30a42c,4 hit 
S 34a2b8,4 hit 
L 30a430,4 hit 
S 34a338,4 hit 
L 30a434,4 hit 
S 34a3b8,4 miss eviction 
L 30a438,4 hit 
S 34a438,4 miss eviction 
L 30a43c,4 miss eviction 
S 34a4b8,4 hit 
L 30a4a0,4 miss eviction 
S 34a13c,4 hit 
L 30a4a4,4 hit 
S 34a1bc,4 hit 
L 30a4a8,4 hit 
S 34a23c,4 hit 
L 30a4ac,4 hit 
S 34a2bc,4 hit 
L 30a4b0,4 hit 
S 34a33c,4 hit 
L 30a4b4,4 hit 
S 34a3bc,4 hit 
L 30a4b8,4 hit 
S 34a43c,4 miss eviction 
L 30a4bc,4 hit 
S 34a4bc,4 miss eviction 
L 30a140,4 miss eviction 
S 34a520,4 miss eviction 
L 30a144,4 hit 
S 34a5a0,4 miss eviction 
L 30a148,4 hit 
S 34a620,4 miss eviction 
L 30a14c,4 hit 
S 34a6a0,4 miss eviction 
L 30a150,4 hit 
S 34a720,4 miss eviction 
L 30a154,4 hit 
S 34a7a0,4 miss eviction 
L 30a158,4 hit 
S 34a820,4 miss eviction 
L 30a15c,4 hit 
S 34a8a0,4 miss eviction 
L 30a1c0,4 miss 
S 34a524,4 hit 
L 30a1c4,4 hit 
S 34a5a4,4 hit 
L 30a1c8,4 hit 
S 34a624,4 hit 
L 30a1cc,4 hit 
S 34a6a4,4 hit 
L 30a1d0,4 hit 
S 34a724,4 hit 
L 30a1d4,4 hit 
S 34a7a4,4 hit 
L 30a1d8,4 hit 
S 34a824,4 hit 
L 30a1dc,4 hit 
S 34a8a4,4 hit 
L 30a240,4 miss 
S 34a528,4 hit 
L 30a244,4 hit 
S 34a5a8,4 hit 
L 30a248,4 hit 
S 34a628,4 hit 
L 30a24c,4 hit 
S 34a6a8,4 hit 
L 30a250,4 hit 
S 34a728,4 hit 
L 30a254,4 hit 
S 34a7a8,4 hit 
L 30a258,4 hit 
S 34a828,4 hit 
L 30a25c,4 hit 
S 34a8a8,4 hit 
L 30a2c0,4 miss 
S 34a52c,4 hit 
L 30a2c4,4 hit 
S 34a5ac,4 hit 
L 30a2c8,4 hit 
S 34a62c,4 hit 
L 30a2cc,4 hit 
S 34a6ac,4 hit 
L 30a2d0,4 hit 
S 34a72c,4 hit 
L 30a2d4,4 hit 
S 34a7ac,4 hit 
L 30a2d8,4 hit 
S 34a82c,4 hit 
L 30a2dc,4 hit 
S 34a8ac,4 hit 
L 30a340,4 miss 
S 34a530,4 hit 
L 30a344,4 hit 
S 34a5b0,4 hit 
L 30a348,4 hit 
S 34a630,4 hit 
L 30a34c,4 hit 
S 34a6b0,4 hit 
L 30a350,4 hit 
S 34a730,4 hit 
L 30a354,4 hit 
S 34a7b0,4 hit 
L 30a358,4 hit 
S 34a830,4 hit 
L 30a35c,4 hit 
S 34a8b0,4 hit 
L 30a3c0,4 miss 
S 34a534,4 hit 
L 30a3c4,4 hit 
S 34a5b4,4 hit 
L 30a3c8,4 hit 
S 34a634,4 hit 
L 30a3cc,4 hit 
S 34a6b4,4 hit 
L 30a3d0,4 hit 
S 34a734,4 hit 
L 30a3d4,4 hit 
S 34a7b4,4 hit 
L 30a3d8,4 hit 
S 34a834,4 hit 
L 30a3dc,4 hit 
S 34a8b4,4 hit 
L 30a440,4 miss 
S 34a538,4 hit 
L 30a444,4 hit 
S 34a5b8,4 hit 
L 30a448,4 hit 
S 34a638,4 hit 
L 30a44c,4 hit 
S 34a6b8,4 hit 
L 30a450,4 hit 
S 34a738,4 hit 
L 30a454,4 hit 
S 34a7b8,4 hit 
L 30a458,4 hit 
S 34a838,4 hit 
L 30a45c,4 hit 
S 34a8b8,4 hit 
L 30a4c0,4 miss 
S 34a53c,4 hit 
L 30a4c4,4 hit 
S 34a5bc,4 hit 
L 30a4c8,4 hit 
S 34a63c,4 hit 
L 30a4cc,4 hit 
S 34a6bc,4 hit 
L 30a4d0,4 hit 
S 34a73c,4 hit 
L 30a4d4,4 hit 
S 34a7bc,4 hit 
L 30a4d8,4 hit 
S 34a83c,4 hit 
L 30a4dc,4 hit 
S 34a8bc,4 hit 
L 30a160,4 miss 
S 34a920,4 miss eviction 
L 30a164,4 hit 
S 34a9a0,4 miss eviction 
L 30a168,4 hit 
S 34aa20,4 miss eviction 
L 30a16c,4 hit 
S 34aaa0,4 miss eviction 
L 30a170,4 hit 
S 34ab20,4 miss eviction 
L 30a174,4 hit 
S 34aba0,4 miss eviction 
L 30a178,4 hit 
S 34ac20,4 miss eviction 
L 30a17c,4 hit 
S 34aca0,4 miss eviction 
L 30a1e0,4 miss 
S 34a924,4 hit 
L 30a1e4,4 hit 
S 34a9a4,4 hit 
L 30a1e8,4 hit 
S 34aa24,4 hit 
L 30a1ec,4 hit 
S 34aaa4,4 hit 
L 30a1f0,4 hit 
S 34ab24,4 hit 
L 30a1f4,4 hit 
S 34aba4,4 hit 
L 30a1f8,4 hit 
S 34ac24,4 hit 
L 30a1fc,4 hit 
S 34aca4,4 hit 
L 30a260,4 miss 
S 34a928,4 hit 
L 30a264,4 hit 
S 34a9a8,4 hit 
L 30a268,4 hit 
S 34aa28,4 hit 
L 30a26c,4 hit 
S 34aaa8,4 hit 
L 30a270,4 hit 
S 34ab28,4 hit 
L 30a274,4 hit 
S 34aba8,4 hit 
L 30a278,4 hit 
S 34ac28,4 hit 
L 30a27c,4 hit 
S 34aca8,4 hit 
L 30a2e0,4 miss 
S 34a92c,4 hit 
L 30a2e4,4 hit 
S 34a9ac,4 hit 
L 30a2e8,4 hit 
S 34aa2c,4 hit 
L 30a2ec,4 hit 
S 34aaac,4 hit 
L 30a2f0,4 hit 
S 34ab2c,4 hit 
L 30a2f4,4 hit 
S 34abac,4 hit 
L 30a2f8,4 hit 
S 34ac2c,4 hit 
L 30a2fc,4 hit 
S 34acac,4 hit 
L 30a360,4 miss 
S 34a930,4 hit 
L 30a364,4 hit 
S 34a9b0,4 hit 
L 30a368,4 hit 
S 34aa30,4 hit 
L 30a36c,4 hit 
S 34aab0,4 hit 
L 30a370,4 hit 
S 34ab30,4 hit 
L 30a374,4 hit 
S 34abb0,4 hit 
L 30a378,4 hit 
S 34ac30,4 hit 
L 30a37c,4 hit 
S 34acb0,4 hit 
L 30a3e0,4 miss 
S 34a934,4 hit 
L 30a3e4,4 hit 
S 34a9b4,4 hit 
L 30a3e8,4 hit 
S 34aa34,4 hit 
L 30a3ec,4 hit 
S 34aab4,4 hit 
L 30a3f0,4 hit 
S 34ab34,4 hit 
L 30a3f4,4 hit 
S 34abb4,4 hit 
L 30a3f8,4 hit 
S 34ac34,4 hit 
L 30a3fc,4 hit 
S 34acb4,4 hit 
L 30a460,4 miss 
S 34a938,4 hit 
L 30a464,4 hit 
S 34a9b8,4 hit 
L 30a468,4 hit 
S 34aa38,4 hit 
L 30a46c,4 hit 
S 34aab8,4 hit 
L 30a470,4 hit 
S 34ab38,4 hit 
L 30a474,4 hit 
S 34abb8,4 hit 
L 30a478,4 hit 
S 34ac38,4 hit 
L 30a47c,4 hit 
S 34acb8,4 hit 
L 30a4e0,4 miss 
S 34a93c,4 hit 
L 30a4e4,4 hit 
S 34a9bc,4 hit 
L 30a4e8,4 hit 
S 34aa3c,4 hit 
L 30a4ec,4 hit 
S 34aabc,4 hit 
L 30a4f0,4 hit 
S 34ab3c,4 hit 
L 30a4f4,4 hit 
S 34abbc,4 hit 
L 30a4f8,4 hit 
S 34ac3c,4 hit 
L 30a4fc,4 hit 
S 34acbc,4 hit 
L 30a180,4 miss 
S 34ad20,4 miss eviction 
L 30a184,4 hit 
S 34ada0,4 miss eviction 
L 30a188,4 hit 
S 34ae20,4 miss eviction 
L 30a18c,4 hit 
S 34aea0,4 miss eviction 
L 30a190,4 hit 
S 34af20,4 miss eviction 
L 30a194,4 hit 
S 34afa0,4 miss eviction 
L 30a198,4 hit 
S 34b020,4 miss eviction 
L 30a19c,4 hit 
S 34b0a0,4 miss eviction 
L 30a200,4 miss 
S 34ad24,4 hit 
L 30a204,4 hit 
S 34ada4,4 hit 
L 30a208,4 hit 
S 34ae24,4 hit 
L 30a20c,4 hit 
S 34aea4,4 hit 
L 30a210,4 hit 
S 34af24,4 hit 
L 30a214,4 hit 
S 34afa4,4 hit 
L 30a218,4 hit 
S 34b024,4 hit 
L 30a21c,4 hit 
S 34b0a4,4 hit 
L 30a280,4 miss 
S 34ad28,4 hit 
L 30a284,4 hit 
S 34ada8,4 hit 
L 30a288,4 hit 
S 34ae28,4 hit 
L 30a28c,4 hit 
S 34aea8,4 hit 
L 30a290,4 hit 
S 34af28,4 hit 
L 30a294,4 hit 
S 34afa8,4 hit 
L 30a298,4 hit 
S 34b028,4 hit 
L 30a29c,4 hit 
S 34b0a8,4 hit 
L 30a300,4 miss 
S 34ad2c,4 hit 
L 30a304,4 hit 
S 34adac,4 hit 
L 30a308,4 hit 
S 34ae2c,4 hit 
L 30a30c,4 hit 
S 34aeac,4 hit 
L 30a310,4 hit 
S 34af2c,4 hit 
