S 38b18c,1 miss 
L 38b1a0,8 miss 
L 38b184,4 hit 
L 38b180,4 hit 
L 30b180,4 miss eviction 
L 30b184,4 hit 
S 34b200,4 miss 
L 30b188,4 hit 
S 34b280,4 miss 
L 30b18c,4 hit 
S 34b300,4 miss 
L 30b190,4 hit 
S 34b380,4 miss 
L 30b194,4 hit 
S 34b400,4 miss 
L 30b198,4 hit 
S 34b480,4 miss 
L 30b19c,4 hit 
S 34b500,4 miss 
S 34b180,4 miss eviction 
L 30b200,4 miss eviction 
S 34b184,4 hit 
L 30b204,4 hit 
L 30b208,4 hit 
S 34b284,4 hit 
L 30b20c,4 hit 
S 34b304,4 hit 
L 30b210,4 hit 
S 34b384,4 hit 
L 30b214,4 hit 
S 34b404,4 hit 
L 30b218,4 hit 
S 34b484,4 hit 
L 30b21c,4 hit 
S 34b504,4 hit 
S 34b204,4 miss eviction 
L 30b280,4 miss eviction 
S 34b188,4 hit 
L 30b284,4 hit 
S 34b208,4 hit 
L 30b288,4 hit 
L 30b28c,4 hit 
S 34b308,4 hit 
L 30b290,4 hit 
S 34b388,4 hit 
L 30b294,4 hit 
S 34b408,4 hit 
L 30b298,4 hit 
S 34b488,4 hit 
L 30b29c,4 hit 
S 34b508,4 hit 
S 34b288,4 miss eviction 
L 30b300,4 miss eviction 
S 34b18c,4 hit 
L 30b304,4 hit 
S 34b20c,4 hit 
L 30b308,4 hit 
S 34b28c,4 hit 
L 30b30c,4 hit 
L 30b310,4 hit 
S 34b38c,4 hit 
L 30b314,4 hit 
S 34b40c,4 hit 
L 30b318,4 hit 
S 34b48c,4 hit 
L 30b31c,4 hit 
S 34b50c,4 hit 
S 34b30c,4 miss eviction 
L 30b380,4 miss eviction 
S 34b190,4 hit 
L 30b384,4 hit 
S 34b210,4 hit 
L 30b388,4 hit 
S 34b290,4 hit 
L 30b38c,4 hit 
S 34b310,4 hit 
L 30b390,4 hit 
L 30b394,4 hit 
S 34b410,4 hit 
L 30b398,4 hit 
S 34b490,4 hit 
L 30b39c,4 hit 
S 34b510,4 hit 
S 34b390,4 miss eviction 
L 30b400,4 miss eviction 
S 34b194,4 hit 
L 30b404,4 hit 
S 34b214,4 hit 
L 30b408,4 hit 
S 34b294,4 hit 
L 30b40c,4 hit 
S 34b314,4 hit 
L 30b410,4 hit 
S 34b394,4 hit 
L 30b414,4 hit 
L 30b418,4 hit 
S 34b494,4 hit 
L 30b41c,4 hit 
S 34b514,4 hit 
S 34b414,4 miss eviction 
L 30b480,4 miss eviction 
S 34b198,4 hit 
L 30b484,4 hit 
S 34b218,4 hit 
L 30b488,4 hit 
S 34b298,4 hit 
L 30b48c,4 hit 
S 34b318,4 hit 
L 30b490,4 hit 
S 34b398,4 hit 
L 30b494,4 hit 
S 34b418,4 hit 
L 30b498,4 hit 
L 30b49c,4 hit 
S 34b518,4 hit 
S 34b498,4 miss eviction 
L 30b500,4 miss eviction 
S 34b19c,4 hit 
L 30b504,4 hit 
S 34b21c,4 hit 
L 30b508,4 hit 
S 34b29c,4 hit 
L 30b50c,4 hit 
S 34b31c,4 hit 
L 30b510,4 hit 
S 34b39c,4 hit 
L 30b514,4 hit 
S 34b41c,4 hit 
L 30b518,4 hit 
S 34b49c,4 hit 
L 30b51c,4 hit 
S 34b51c,4 miss eviction 
L 30b1a0,4 miss eviction 
L 30b1a4,4 hit 
S 34b600,4 miss eviction 
L 30b1a8,4 hit 
S 34b680,4 miss eviction 
L 30b1ac,4 hit 
S 34b700,4 miss eviction 
L 30b1b0,4 hit 
S 34b780,4 miss eviction 
L 30b1b4,4 hit 
S 34b800,4 miss eviction 
L 30b1b8,4 hit 
S 34b880,4 miss eviction 
L 30b1bc,4 hit 
S 34b900,4 miss eviction 
S 34b580,4 miss eviction 
L 30b220,4 miss 
S 34b584,4 hit 
L 30b224,4 hit 
L 30b228,4 hit 
S 34b684,4 hit 
L 30b22c,4 hit 
S 34b704,4 hit 
L 30b230,4 hit 
S 34b784,4 hit 
L 30b234,4 hit 
S 34b804,4 hit 
L 30b238,4 hit 
S 34b884,4 hit 
L 30b23c,4 hit 
S 34b904,4 hit 
S 34b604,4 hit 
L 30b2a0,4 miss 
S 34b588,4 hit 
L 30b2a4,4 hit 
S 34b608,4 hit 
L 30b2a8,4 hit 
L 30b2ac,4 hit 
S 34b708,4 hit 
L 30b2b0,4 hit 
S 34b788,4 hit 
L 30b2b4,4 hit 
S 34b808,4 hit 
L 30b2b8,4 hit 
S 34b888,4 hit 
L 30b2bc,4 hit 
S 34b908,4 hit 
S 34b688,4 hit 
L 30b320,4 miss 
S 34b58c,4 hit 
L 30b324,4 hit 
S 34b60c,4 hit 
L 30b328,4 hit 
S 34b68c,4 hit 
L 30b32c,4 hit 
L 30b330,4 hit 
S 34b78c,4 hit 
L 30b334,4 hit 
S 34b80c,4 hit 
L 30b338,4 hit 
S 34b88c,4 hit 
L 30b33c,4 hit 
S 34b90c,4 hit 
S 34b70c,4 hit 
L 30b3a0,4 miss 
S 34b590,4 hit 
L 30b3a4,4 hit 
S 34b610,4 hit 
L 30b3a8,4 hit 
S 34b690,4 hit 
L 30b3ac,4 hit 
S 34b710,4 hit 
L 30b3b0,4 hit 
L 30b3b4,4 hit 
S 34b810,4 hit 
L 30b3b8,4 hit 
S 34b890,4 hit 
L 30b3bc,4 hit 
S 34b910,4 hit 
S 34b790,4 hit 
L 30b420,4 miss 
S 34b594,4 hit 
L 30b424,4 hit 
S 34b614,4 hit 
L 30b428,4 hit 
S 34b694,4 hit 
L 30b42c,4 hit 
S 34b714,4 hit 
L 30b430,4 hit 
S 34b794,4 hit 
L 30b434,4 hit 
L 30b438,4 hit 
S 34b894,4 hit 
L 30b43c,4 hit 
S 34b914,4 hit 
S 34b814,4 hit 
L 30b4a0,4 miss 
S 34b598,4 hit 
L 30b4a4,4 hit 
S 34b618,4 hit 
L 30b4a8,4 hit 
S 34b698,4 hit 
L 30b4ac,4 hit 
S 34b718,4 hit 
L 30b4b0,4 hit 
S 34b798,4 hit 
L 30b4b4,4 hit 
S 34b818,4 hit 
L 30b4b8,4 hit 
L 30b4bc,4 hit 
S 34b918,4 hit 
S 34b898,4 hit 
L 30b520,4 miss 
S 34b59c,4 hit 
L 30b524,4 hit 
S 34b61c,4 hit 
L 30b528,4 hit 
S 34b69c,4 hit 
L 30b52c,4 hit 
S 34b71c,4 hit 
L 30b530,4 hit 
S 34b79c,4 hit 
L 30b534,4 hit 
S 34b81c,4 hit 
L 30b538,4 hit 
S 34b89c,4 hit 
L 30b53c,4 hit 
S 34b91c,4 hit 
L 30b1c0,4 miss 
L 30b1c4,4 hit 
S 34ba00,4 miss eviction 
L 30b1c8,4 hit 
S 34ba80,4 miss eviction 
L 30b1cc,4 hit 
S 34bb00,4 miss eviction 
L 30b1d0,4 hit 
S 34bb80,4 miss eviction 
L 30b1d4,4 hit 
S 34bc00,4 miss eviction 
L 30b1d8,4 hit 
S 34bc80,4 miss eviction 
L 30b1dc,4 hit 
S 34bd00,4 miss eviction 
S 34b980,4 miss eviction 
L 30b240,4 miss 
S 34b984,4 hit 
L 30b244,4 hit 
L 30b248,4 hit 
S 34ba84,4 hit 
L 30b24c,4 hit 
S 34bb04,4 hit 
L 30b250,4 hit 
S 34bb84,4 hit 
L 30b254,4 hit 
S 34bc04,4 hit 
L 30b258,4 hit 
S 34bc84,4 hit 
L 30b25c,4 hit 
S 34bd04,4 hit 
S 34ba04,4 hit 
L 30b2c0,4 miss 
S 34b988,4 hit 
L 30b2c4,4 hit 
S 34ba08,4 hit 
L 30b2c8,4 hit 
L 30b2cc,4 hit 
S 34bb08,4 hit 
L 30b2d0,4 hit 
S 34bb88,4 hit 
L 30b2d4,4 hit 
S 34bc08,4 hit 
L 30b2d8,4 hit 
S 34bc88,4 hit 
L 30b2dc,4 hit 
S 34bd08,4 hit 
S 34ba88,4 hit 
L 30b340,4 miss 
S 34b98c,4 hit 
L 30b344,4 hit 
S 34ba0c,4 hit 
L 30b348,4 hit 
S 34ba8c,4 hit 
L 30b34c,4 hit 
L 30b350,4 hit 
S 34bb8c,4 hit 
L 30b354,4 hit 
S 34bc0c,4 hit 
L 30b358,4 hit 
S 34bc8c,4 hit 
L 30b35c,4 hit 
S 34bd0c,4 hit 
S 34bb0c,4 hit 
L 30b3c0,4 miss 
S 34b990,4 hit 
L 30b3c4,4 hit 
S 34ba10,4 hit 
L 30b3c8,4 hit 
S 34ba90,4 hit 
L 30b3cc,4 hit 
S 34bb10,4 hit 
L 30b3d0,4 hit 
L 30b3d4,4 hit 
S 34bc10,4 hit 
L 30b3d8,4 hit 
S 34bc90,4 hit 
L 30b3dc,4 hit 
S 34bd10,4 hit 
S 34bb90,4 hit 
L 30b440,4 miss 
S 34b994,4 hit 
L 30b444,4 hit 
S 34ba14,4 hit 
L 30b448,4 hit 
S 34ba94,4 hit 
L 30b44c,4 hit 
S 34bb14,4 hit 
L 30b450,4 hit 
S 34bb94,4 hit 
L 30b454,4 hit 
L 30b458,4 hit 
S 34bc94,4 hit 
L 30b45c,4 hit 
S 34bd14,4 hit 
S 34bc14,4 hit 
L 30b4c0,4 miss 
S 34b998,4 hit 
L 30b4c4,4 hit 
S 34ba18,4 hit 
L 30b4c8,4 hit 
S 34ba98,4 hit 
L 30b4cc,4 hit 
S 34bb18,4 hit 
L 30b4d0,4 hit 
S 34bb98,4 hit 
L 30b4d4,4 hit 
S 34bc18,4 hit 
L 30b4d8,4 hit 
L 30b4dc,4 hit 
S 34bd18,4 hit 
S 34bc98,4 hit 
L 30b540,4 miss 
S 34b99c,4 hit 
L 30b544,4 hit 
S 34ba1c,4 hit 
L 30b548,4 hit 
S 34ba9c,4 hit 
L 30b54c,4 hit 
S 34bb1c,4 hit 
L 30b550,4 hit 
S 34bb9c,4 hit 
L 30b554,4 hit 
S 34bc1c,4 hit 
L 30b558,4 hit 
S 34bc9c,4 hit 
L 30b55c,4 hit 
S 34bd1c,4 hit 
L 30b1e0,4 miss 
L 30b1e4,4 hit 
S 34be00,4 miss eviction 
L 30b1e8,4 hit 
S 34be80,4 miss eviction 
L 30b1ec,4 hit 
S 34bf00,4 miss eviction 
L 30b1f0,4 hit 
S 34bf80,4 miss eviction 
L 30b1f4,4 hit 
S 34c000,4 miss eviction 
L 30b1f8,4 hit 
S 34c080,4 miss eviction 
L 30b1fc,4 hit 
S 34c100,4 miss eviction 
S 34bd80,4 miss eviction 
L 30b260,4 miss 
S 34bd84,4 hit 
L 30b264,4 hit 
L 30b268,4 hit 
S 34be84,4 hit 
L 30b26c,4 hit 
S 34bf04,4 hit 
L 30b270,4 hit 
S 34bf84,4 hit 
L 30b274,4 hit 
S 34c004,4 hit 
L 30b278,4 hit 
S 34c084,4 hit 
L 30b27c,4 hit 
S 34c104,4 hit 
S 34be04,4 hit 
L 30b2e0,4 miss 
S 34bd88,4 hit 
L 30b2e4,4 hit 
S 34be08,4 hit 
L 30b2e8,4 hit 
L 30b2ec,4 hit 
S 34bf08,4 hit 
L 30b2f0,4 hit 
S 34bf88,4 hit 
L 30b2f4,4 hit 
S 34c008,4 hit 
L 30b2f8,4 hit 
S 34c088,4 hit 
L 30b2fc,4 hit 
S 34c108,4 hit 
S 34be88,4 hit 
L 30b360,4 miss 
S 34bd8c,4 hit 
L 30b364,4 hit 
S 34be0c,4 hit 
L 30b368,4 hit 
S 34be8c,4 hit 
L 30b36c,4 hit 
L 30b370,4 hit 
S 34bf8c,4 hit 
L 30b374,4 hit 
S 34c00c,4 hit 
L 30b378,4 hit 
S 34c08c,4 hit 
L 30b37c,4 hit 
S 34c10c,4 hit 
S 34bf0c,4 hit 
L 30b3e0,4 miss 
S 34bd90,4 hit 
L 30b3e4,4 hit 
S 34be10,4 hit 
L 30b3e8,4 hit 
S 34be90,4 hit 
L 30b3ec,4 hit 
S 34bf10,4 hit 
L 30b3f0,4 hit 
L 30b3f4,4 hit 
S 34c010,4 hit 
L 30b3f8,4 hit 
S 34c090,4 hit 
L 30b3fc,4 hit 
S 34c110,4 hit 
S 34bf90,4 hit 
L 30b460,4 miss 
S 34bd94,4 hit 
L 30b464,4 hit 
S 34be14,4 hit 
L 30b468,4 hit 
S 34be94,4 hit 
L 30b46c,4 hit 
S 34bf14,4 hit 
L 30b470,4 hit 
S 34bf94,4 hit 
L 30b474,4 hit 
L 30b478,4 hit 
S 34c094,4 hit 
L 30b47c,4 hit 
S 34c114,4 hit 
S 34c014,4 hit 
L 30b4e0,4 miss 
S 34bd98,4 hit 
L 30b4e4,4 hit 
S 34be18,4 hit 
L 30b4e8,4 hit 
S 34be98,4 hit 
L 30b4ec,4 hit 
S 34bf18,4 hit 
L 30b4f0,4 hit 
S 34bf98,4 hit 
L 30b4f4,4 hit 
S 34c018,4 hit 
L 30b4f8,4 hit 
L 30b4fc,4 hit 
S 34c118,4 hit 
S 34c098,4 hit 
L 30b560,4 miss 
S 34bd9c,4 hit 
L 30b564,4 hit 
S 34be1c,4 hit 
L 30b568,4 hit 
S 34be9c,4 hit 
L 30b56c,4 hit 
S 34bf1c,4 hit 
L 30b570,4 hit 
S 34bf9c,4 hit 
L 30b574,4 hit 
S 34c01c,4 hit 
L 30b578,4 hit 
S 34c09c,4 hit 
L 30b57c,4 hit 
S 34c11c,4 hit 
L 30b580,4 miss eviction 
L 30b584,4 hit 
S 34b220,4 miss eviction 
L 30b588,4 hit 
S 34b2a0,4 miss eviction 
L 30b58c,4 hit 
S 34b320,4 miss eviction 
L 30b590,4 hit 
S 34b3a0,4 miss eviction 
L 30b594,4 hit 
S 34b420,4 miss eviction 
L 30b598,4 hit 
S 34b4a0,4 miss eviction 
L 30b59c,4 hit 
S 34b520,4 miss eviction 
S 34b1a0,4 miss eviction 
L 30b600,4 miss eviction 
S 34b1a4,4 hit 
L 30b604,4 hit 
L 30b608,4 hit 
S 34b2a4,4 hit 
L 30b60c,4 hit 
S 34b324,4 hit 
L 30b610,4 hit 
S 34b3a4,4 hit 
L 30b614,4 hit 
S 34b424,4 hit 
L 30b618,4 hit 
S 34b4a4,4 hit 
L 30b61c,4 hit 
S 34b524,4 hit 
S 34b224,4 hit 
L 30b680,4 miss eviction 
S 34b1a8,4 hit 
L 30b684,4 hit 
S 34b228,4 hit 
L 30b688,4 hit 
L 30b68c,4 hit 
S 34b328,4 hit 
L 30b690,4 hit 
S 34b3a8,4 hit 
L 30b694,4 hit 
S 34b428,4 hit 
L 30b698,4 hit 
S 34b4a8,4 hit 
L 30b69c,4 hit 
S 34b528,4 hit 
S 34b2a8,4 hit 
L 30b700,4 miss eviction 
S 34b1ac,4 hit 
L 30b704,4 hit 
S 34b22c,4 hit 
L 30b708,4 hit 
S 34b2ac,4 hit 
L 30b70c,4 hit 
L 30b710,4 hit 
S 34b3ac,4 hit 
L 30b714,4 hit 
S 34b42c,4 hit 
L 30b718,4 hit 
S 34b4ac,4 hit 
L 30b71c,4 hit 
S 34b52c,4 hit 
S 34b32c,4 hit 
L 30b780,4 miss eviction 
S 34b1b0,4 hit 
L 30b784,4 hit 
S 34b230,4 hit 
L 30b788,4 hit 
S 34b2b0,4 hit 
L 30b78c,4 hit 
S 34b330,4 hit 
L 30b790,4 hit 
L 30b794,4 hit 
S 34b430,4 hit 
L 30b798,4 hit 
S 34b4b0,4 hit 
L 30b79c,4 hit 
S 34b530,4 hit 
S 34b3b0,4 hit 
L 30b800,4 miss eviction 
S 34b1b4,4 hit 
