S 38c18c,1 miss 
L 38c1a0,8 miss 
L 38c184,4 hit 
L 38c180,4 hit 
L 30c180,4 miss eviction 
S 34c180,4 miss eviction 
L 30c184,4 miss eviction 
S 34c28c,4 miss 
L 30c188,4 hit 
S 34c398,4 miss 
L 30c18c,4 hit 
S 34c4a4,4 miss 
L 30c274,4 miss 
S 34c184,4 miss eviction 
L 30c278,4 hit 
S 34c290,4 hit 
L 30c27c,4 hit 
S 34c39c,4 hit 
L 30c280,4 miss eviction 
S 34c4a8,4 hit 
L 30c368,4 miss 
S 34c188,4 hit 
L 30c36c,4 hit 
S 34c294,4 miss eviction 
L 30c370,4 hit 
S 34c3a0,4 miss 
L 30c374,4 hit 
S 34c4ac,4 hit 
L 30c45c,4 miss 
S 34c18c,4 hit 
L 30c460,4 miss 
S 34c298,4 hit 
L 30c464,4 hit 
S 34c3a4,4 hit 
L 30c468,4 hit 
S 34c4b0,4 hit 
L 30c190,4 miss eviction 
S 34c5b0,4 miss eviction 
L 30c194,4 hit 
S 34c6bc,4 miss 
L 30c198,4 hit 
S 34c7c8,4 miss 
L 30c19c,4 hit 
S 34c8d4,4 miss 
L 30c284,4 miss eviction 
S 34c5b4,4 hit 
L 30c288,4 hit 
S 34c6c0,4 miss 
L 30c28c,4 hit 
S 34c7cc,4 hit 
L 30c290,4 hit 
S 34c8d8,4 hit 
L 30c378,4 hit 
S 34c5b8,4 hit 
L 30c37c,4 hit 
S 34c6c4,4 hit 
L 30c380,4 miss eviction 
S 34c7d0,4 hit 
L 30c384,4 hit 
S 34c8dc,4 hit 
L 30c46c,4 hit 
S 34c5bc,4 hit 
L 30c470,4 hit 
S 34c6c8,4 hit 
L 30c474,4 hit 
S 34c7d4,4 hit 
L 30c478,4 hit 
S 34c8e0,4 miss 
L 30c1a0,4 miss eviction 
S 34c9e0,4 miss 
L 30c1a4,4 hit 
S 34caec,4 miss 
L 30c1a8,4 hit 
S 34cbf8,4 miss 
L 30c1ac,4 hit 
S 34cd04,4 miss 
L 30c294,4 hit 
S 34c9e4,4 hit 
L 30c298,4 hit 
S 34caf0,4 hit 
L 30c29c,4 hit 
S 34cbfc,4 hit 
L 30c2a0,4 miss eviction 
S 34cd08,4 hit 
L 30c388,4 hit 
S 34c9e8,4 hit 
L 30c38c,4 hit 
S 34caf4,4 hit 
L 30c390,4 hit 
S 34cc00,4 miss 
L 30c394,4 hit 
S 34cd0c,4 hit 
L 30c47c,4 hit 
S 34c9ec,4 hit 
L 30c480,4 miss 
S 34caf8,4 hit 
L 30c484,4 hit 
S 34cc04,4 hit 
L 30c488,4 hit 
S 34cd10,4 hit 
L 30c1b0,4 hit 
S 34ce10,4 miss 
L 30c1b4,4 hit 
S 34cf1c,4 miss 
L 30c1b8,4 hit 
S 34d028,4 miss 
L 30c1bc,4 hit 
S 34d134,4 miss 
L 30c2a4,4 hit 
S 34ce14,4 hit 
L 30c2a8,4 hit 
S 34cf20,4 miss 
L 30c2ac,4 hit 
S 34d02c,4 hit 
L 30c2b0,4 hit 
S 34d138,4 hit 
L 30c398,4 hit 
S 34ce18,4 hit 
L 30c39c,4 hit 
S 34cf24,4 hit 
L 30c3a0,4 miss eviction 
S 34d030,4 hit 
L 30c3a4,4 hit 
S 34d13c,4 hit 
L 30c48c,4 hit 
S 34ce1c,4 hit 
L 30c490,4 hit 
S 34cf28,4 hit 
L 30c494,4 hit 
S 34d034,4 hit 
L 30c498,4 hit 
S 34d140,4 miss 
L 30c1c0,4 miss 
S 34d240,4 miss 
L 30c1c4,4 hit 
S 34d34c,4 miss 
L 30c1c8,4 hit 
S 34d458,4 miss eviction 
L 30c1cc,4 hit 
S 34d564,4 miss 
L 30c2b4,4 hit 
S 34d244,4 hit 
L 30c2b8,4 hit 
S 34d350,4 hit 
L 30c2bc,4 hit 
S 34d45c,4 hit 
L 30c2c0,4 miss eviction 
S 34d568,4 hit 
L 30c3a8,4 hit 
S 34d248,4 hit 
L 30c3ac,4 hit 
S 34d354,4 hit 
L 30c3b0,4 hit 
S 34d460,4 miss eviction 
L 30c3b4,4 hit 
S 34d56c,4 hit 
L 30c49c,4 hit 
S 34d24c,4 hit 
L 30c4a0,4 miss eviction 
S 34d358,4 hit 
L 30c4a4,4 hit 
S 34d464,4 hit 
L 30c4a8,4 hit 
S 34d570,4 hit 
L 30c1d0,4 hit 
S 34d670,4 miss eviction 
L 30c1d4,4 hit 
S 34d77c,4 miss eviction 
L 30c1d8,4 hit 
S 34d888,4 miss eviction 
L 30c1dc,4 hit 
S 34d994,4 miss eviction 
L 30c2c4,4 hit 
