S 38b18c,1 miss 
L 38b1a0,8 miss 
L 38b184,4 hit 
L 38b180,4 hit 
L 30b180,4 miss eviction 
S 34b1a0,4 miss eviction 
L 30b184,4 hit 
S 34b1a4,4 hit 
L 30b188,4 hit 
S 34b1a8,4 hit 
L 30b18c,4 hit 
S 34b1ac,4 hit 
L 30b190,4 hit 
S 34b1b0,4 hit 
L 30b194,4 hit 
S 34b1b4,4 hit 
L 30b198,4 hit 
S 34b1b8,4 hit 
L 30b19c,4 hit 
S 34b1bc,4 hit 
L 30b280,4 miss 
S 34b2a0,4 miss 
L 30b284,4 hit 
S 34b2a4,4 hit 
L 30b288,4 hit 
S 34b2a8,4 hit 
L 30b28c,4 hit 
S 34b2ac,4 hit 
L 30b290,4 hit 
S 34b2b0,4 hit 
L 30b294,4 hit 
S 34b2b4,4 hit 
L 30b298,4 hit 
S 34b2b8,4 hit 
L 30b29c,4 hit 
S 34b2bc,4 hit 
L 30b380,4 miss 
S 34b3a0,4 miss 
L 30b384,4 hit 
S 34b3a4,4 hit 
L 30b388,4 hit 
S 34b3a8,4 hit 
L 30b38c,4 hit 
S 34b3ac,4 hit 
L 30b390,4 hit 
S 34b3b0,4 hit 
L 30b394,4 hit 
S 34b3b4,4 hit 
L 30b398,4 hit 
S 34b3b8,4 hit 
L 30b39c,4 hit 
S 34b3bc,4 hit 
L 30b480,4 miss 
S 34b4a0,4 miss 
L 30b484,4 hit 
S 34b4a4,4 hit 
L 30b488,4 hit 
S 34b4a8,4 hit 
L 30b48c,4 hit 
S 34b4ac,4 hit 
L 30b490,4 hit 
S 34b4b0,4 hit 
L 30b494,4 hit 
S 34b4b4,4 hit 
L 30b498,4 hit 
S 34b4b8,4 hit 
L 30b49c,4 hit 
S 34b4bc,4 hit 
L 34b1a0,4 hit 
S 34b180,4 miss eviction 
L 34b1a4,4 hit 
S 34b280,4 miss eviction 
L 34b1a8,4 hit 
S 34b380,4 miss eviction 
L 34b1ac,4 hit 
S 34b480,4 miss eviction 
L 34b2a0,4 hit 
S 34b184,4 hit 
L 34b2a4,4 hit 
S 34b284,4 hit 
L 34b2a8,4 hit 
S 34b384,4 hit 
L 34b2ac,4 hit 
S 34b484,4 hit 
L 34b3a0,4 hit 
S 34b188,4 hit 
L 34b3a4,4 hit 
S 34b288,4 hit 
L 34b3a8,4 hit 
S 34b388,4 hit 
L 34b3ac,4 hit 
S 34b488,4 hit 
L 34b4a0,4 hit 
S 34b18c,4 hit 
L 34b4a4,4 hit 
S 34b28c,4 hit 
L 34b4a8,4 hit 
S 34b38c,4 hit 
L 34b4ac,4 hit 
S 34b48c,4 hit 
L 34b1b0,4 hit 
S 34b580,4 miss eviction 
L 34b1b4,4 hit 
S 34b680,4 miss eviction 
L 34b1b8,4 hit 
S 34b780,4 miss eviction 
L 34b1bc,4 hit 
S 34b880,4 miss eviction 
L 34b2b0,4 hit 
S 34b584,4 hit 
L 34b2b4,4 hit 
S 34b684,4 hit 
L 34b2b8,4 hit 
S 34b784,4 hit 
L 34b2bc,4 hit 
S 34b884,4 hit 
L 34b3b0,4 hit 
S 34b588,4 hit 
L 34b3b4,4 hit 
S 34b688,4 hit 
L 34b3b8,4 hit 
S 34b788,4 hit 
L 34b3bc,4 hit 
S 34b888,4 hit 
L 34b4b0,4 hit 
S 34b58c,4 hit 
L 34b4b4,4 hit 
S 34b68c,4 hit 
L 34b4b8,4 hit 
S 34b78c,4 hit 
L 34b4bc,4 hit 
S 34b88c,4 hit 
L 30b580,4 miss eviction 
S 34b1a0,4 hit 
L 30b584,4 hit 
S 34b1a4,4 hit 
L 30b588,4 hit 
S 34b1a8,4 hit 
L 30b58c,4 hit 
S 34b1ac,4 hit 
L 30b590,4 hit 
S 34b1b0,4 hit 
L 30b594,4 hit 
S 34b1b4,4 hit 
L 30b598,4 hit 
S 34b1b8,4 hit 
L 30b59c,4 hit 
S 34b1bc,4 hit 
L 30b680,4 miss eviction 
S 34b2a0,4 hit 
L 30b684,4 hit 
S 34b2a4,4 hit 
L 30b688,4 hit 
S 34b2a8,4 hit 
L 30b68c,4 hit 
S 34b2ac,4 hit 
L 30b690,4 hit 
S 34b2b0,4 hit 
L 30b694,4 hit 
S 34b2b4,4 hit 
L 30b698,4 hit 
S 34b2b8,4 hit 
L 30b69c,4 hit 
S 34b2bc,4 hit 
L 30b780,4 miss eviction 
S 34b3a0,4 hit 
L 30b784,4 hit 
S 34b3a4,4 hit 
L 30b788,4 hit 
S 34b3a8,4 hit 
L 30b78c,4 hit 
S 34b3ac,4 hit 
L 30b790,4 hit 
S 34b3b0,4 hit 
L 30b794,4 hit 
S 34b3b4,4 hit 
L 30b798,4 hit 
S 34b3b8,4 hit 
L 30b79c,4 hit 
S 34b3bc,4 hit 
L 30b880,4 miss eviction 
S 34b4a0,4 hit 
L 30b884,4 hit 
S 34b4a4,4 hit 
L 30b888,4 hit 
S 34b4a8,4 hit 
L 30b88c,4 hit 
S 34b4ac,4 hit 
L 30b890,4 hit 
S 34b4b0,4 hit 
L 30b894,4 hit 
S 34b4b4,4 hit 
L 30b898,4 hit 
S 34b4b8,4 hit 
L 30b89c,4 hit 
S 34b4bc,4 hit 
L 34b1a0,4 hit 
S 34b190,4 miss eviction 
L 34b1a4,4 hit 
S 34b290,4 miss eviction 
L 34b1a8,4 hit 
S 34b390,4 miss eviction 
L 34b1ac,4 hit 
S 34b490,4 miss eviction 
L 34b2a0,4 hit 
S 34b194,4 hit 
L 34b2a4,4 hit 
S 34b294,4 hit 
L 34b2a8,4 hit 
S 34b394,4 hit 
L 34b2ac,4 hit 
S 34b494,4 hit 
L 34b3a0,4 hit 
S 34b198,4 hit 
L 34b3a4,4 hit 
S 34b298,4 hit 
L 34b3a8,4 hit 
S 34b398,4 hit 
L 34b3ac,4 hit 
S 34b498,4 hit 
L 34b4a0,4 hit 
S 34b19c,4 hit 
L 34b4a4,4 hit 
S 34b29c,4 hit 
L 34b4a8,4 hit 
S 34b39c,4 hit 
L 34b4ac,4 hit 
S 34b49c,4 hit 
L 34b1b0,4 hit 
S 34b590,4 miss eviction 
L 34b1b4,4 hit 
S 34b690,4 miss eviction 
L 34b1b8,4 hit 
S 34b790,4 miss eviction 
L 34b1bc,4 hit 
S 34b890,4 miss eviction 
L 34b2b0,4 hit 
S 34b594,4 hit 
L 34b2b4,4 hit 
S 34b694,4 hit 
L 34b2b8,4 hit 
S 34b794,4 hit 
L 34b2bc,4 hit 
S 34b894,4 hit 
L 34b3b0,4 hit 
S 34b598,4 hit 
L 34b3b4,4 hit 
S 34b698,4 hit 
L 34b3b8,4 hit 
S 34b798,4 hit 
L 34b3bc,4 hit 
S 34b898,4 hit 
L 34b4b0,4 hit 
S 34b59c,4 hit 
L 34b4b4,4 hit 
S 34b69c,4 hit 
L 34b4b8,4 hit 
S 34b79c,4 hit 
L 34b4bc,4 hit 
S 34b89c,4 hit 
L 30b9a0,4 miss eviction 
S 34b980,4 miss eviction 
L 30b9a4,4 hit 
S 34b984,4 hit 
L 30b9a8,4 hit 
S 34b988,4 hit 
L 30b9ac,4 hit 
S 34b98c,4 hit 
L 30b9b0,4 hit 
S 34b990,4 hit 
L 30b9b4,4 hit 
S 34b994,4 hit 
L 30b9b8,4 hit 
S 34b998,4 hit 
L 30b9bc,4 hit 
S 34b99c,4 hit 
L 30baa0,4 miss eviction 
S 34ba80,4 miss eviction 
L 30baa4,4 hit 
S 34ba84,4 hit 
L 30baa8,4 hit 
S 34ba88,4 hit 
L 30baac,4 hit 
S 34ba8c,4 hit 
L 30bab0,4 hit 
S 34ba90,4 hit 
L 30bab4,4 hit 
S 34ba94,4 hit 
L 30bab8,4 hit 
S 34ba98,4 hit 
L 30babc,4 hit 
S 34ba9c,4 hit 
L 30bba0,4 miss eviction 
S 34bb80,4 miss eviction 
L 30bba4,4 hit 
S 34bb84,4 hit 
L 30bba8,4 hit 
S 34bb88,4 hit 
L 30bbac,4 hit 
S 34bb8c,4 hit 
L 30bbb0,4 hit 
S 34bb90,4 hit 
L 30bbb4,4 hit 
S 34bb94,4 hit 
L 30bbb8,4 hit 
S 34bb98,4 hit 
L 30bbbc,4 hit 
S 34bb9c,4 hit 
L 30bca0,4 miss eviction 
S 34bc80,4 miss eviction 
L 30bca4,4 hit 
S 34bc84,4 hit 
L 30bca8,4 hit 
S 34bc88,4 hit 
L 30bcac,4 hit 
S 34bc8c,4 hit 
L 30bcb0,4 hit 
S 34bc90,4 hit 
L 30bcb4,4 hit 
S 34bc94,4 hit 
L 30bcb8,4 hit 
S 34bc98,4 hit 
L 30bcbc,4 hit 
S 34bc9c,4 hit 
L 34b980,4 hit 
S 34b9a0,4 miss eviction 
L 34b984,4 hit 
S 34baa0,4 miss eviction 
L 34b988,4 hit 
S 34bba0,4 miss eviction 
L 34b98c,4 hit 
S 34bca0,4 miss eviction 
L 34ba80,4 hit 
S 34b9a4,4 hit 
L 34ba84,4 hit 
S 34baa4,4 hit 
L 34ba88,4 hit 
S 34bba4,4 hit 
L 34ba8c,4 hit 
S 34bca4,4 hit 
L 34bb80,4 hit 
S 34b9a8,4 hit 
L 34bb84,4 hit 
S 34baa8,4 hit 
L 34bb88,4 hit 
S 34bba8,4 hit 
L 34bb8c,4 hit 
S 34bca8,4 hit 
L 34bc80,4 hit 
S 34b9ac,4 hit 
L 34bc84,4 hit 
S 34baac,4 hit 
L 34bc88,4 hit 
S 34bbac,4 hit 
L 34bc8c,4 hit 
S 34bcac,4 hit 
L 34b990,4 hit 
S 34bda0,4 miss eviction 
L 34b994,4 hit 
S 34bea0,4 miss eviction 
L 34b998,4 hit 
S 34bfa0,4 miss eviction 
L 34b99c,4 hit 
S 34c0a0,4 miss eviction 
L 34ba90,4 hit 
S 34bda4,4 hit 
L 34ba94,4 hit 
S 34bea4,4 hit 
L 34ba98,4 hit 
S 34bfa4,4 hit 
L 34ba9c,4 hit 
S 34c0a4,4 hit 
L 34bb90,4 hit 
S 34bda8,4 hit 
L 34bb94,4 hit 
S 34bea8,4 hit 
L 34bb98,4 hit 
S 34bfa8,4 hit 
L 34bb9c,4 hit 
S 34c0a8,4 hit 
L 34bc90,4 hit 
S 34bdac,4 hit 
L 34bc94,4 hit 
S 34beac,4 hit 
L 34bc98,4 hit 
S 34bfac,4 hit 
L 34bc9c,4 hit 
S 34c0ac,4 hit 
L 30bda0,4 miss eviction 
S 34b980,4 hit 
L 30bda4,4 hit 
S 34b984,4 hit 
L 30bda8,4 hit 
S 34b988,4 hit 
L 30bdac,4 hit 
S 34b98c,4 hit 
L 30bdb0,4 hit 
S 34b990,4 hit 
L 30bdb4,4 hit 
S 34b994,4 hit 
L 30bdb8,4 hit 
S 34b998,4 hit 
L 30bdbc,4 hit 
S 34b99c,4 hit 
L 30bea0,4 miss eviction 
S 34ba80,4 hit 
L 30bea4,4 hit 
S 34ba84,4 hit 
L 30bea8,4 hit 
S 34ba88,4 hit 
L 30beac,4 hit 
S 34ba8c,4 hit 
L 30beb0,4 hit 
S 34ba90,4 hit 
L 30beb4,4 hit 
S 34ba94,4 hit 
L 30beb8,4 hit 
S 34ba98,4 hit 
L 30bebc,4 hit 
S 34ba9c,4 hit 
L 30bfa0,4 miss eviction 
S 34bb80,4 hit 
L 30bfa4,4 hit 
S 34bb84,4 hit 
L 30bfa8,4 hit 
S 34bb88,4 hit 
L 30bfac,4 hit 
S 34bb8c,4 hit 
L 30bfb0,4 hit 
S 34bb90,4 hit 
L 30bfb4,4 hit 
S 34bb94,4 hit 
L 30bfb8,4 hit 
S 34bb98,4 hit 
L 30bfbc,4 hit 
S 34bb9c,4 hit 
L 30c0a0,4 miss eviction 
S 34bc80,4 hit 
L 30c0a4,4 hit 
S 34bc84,4 hit 
L 30c0a8,4 hit 
S 34bc88,4 hit 
L 30c0ac,4 hit 
S 34bc8c,4 hit 
L 30c0b0,4 hit 
S 34bc90,4 hit 
L 30c0b4,4 hit 
S 34bc94,4 hit 
L 30c0b8,4 hit 
S 34bc98,4 hit 
L 30c0bc,4 hit 
S 34bc9c,4 hit 
L 34b980,4 hit 
S 34b9b0,4 miss eviction 
L 34b984,4 hit 
S 34bab0,4 miss eviction 
L 34b988,4 hit 
S 34bbb0,4 miss eviction 
L 34b98c,4 hit 
S 34bcb0,4 miss eviction 
L 34ba80,4 hit 
S 34b9b4,4 hit 
L 34ba84,4 hit 
S 34bab4,4 hit 
L 34ba88,4 hit 
S 34bbb4,4 hit 
L 34ba8c,4 hit 
S 34bcb4,4 hit 
L 34bb80,4 hit 
S 34b9b8,4 hit 
L 34bb84,4 hit 
S 34bab8,4 hit 
L 34bb88,4 hit 
S 34bbb8,4 hit 
L 34bb8c,4 hit 
S 34bcb8,4 hit 
L 34bc80,4 hit 
S 34b9bc,4 hit 
L 34bc84,4 hit 
S 34babc,4 hit 
L 34bc88,4 hit 
S 34bbbc,4 hit 
L 34bc8c,4 hit 
S 34bcbc,4 hit 
L 34b990,4 hit 
S 34bdb0,4 miss eviction 
L 34b994,4 hit 
S 34beb0,4 miss eviction 
L 34b998,4 hit 
S 34bfb0,4 miss eviction 
L 34b99c,4 hit 
S 34c0b0,4 miss eviction 
L 34ba90,4 hit 
S 34bdb4,4 hit 
L 34ba94,4 hit 
S 34beb4,4 hit 
L 34ba98,4 hit 
S 34bfb4,4 hit 
L 34ba9c,4 hit 
S 34c0b4,4 hit 
L 34bb90,4 hit 
S 34bdb8,4 hit 
L 34bb94,4 hit 
S 34beb8,4 hit 
L 34bb98,4 hit 
S 34bfb8,4 hit 
L 34bb9c,4 hit 
S 34c0b8,4 hit 
L 34bc90,4 hit 
S 34bdbc,4 hit 
L 34bc94,4 hit 
S 34bebc,4 hit 
L 34bc98,4 hit 
S 34bfbc,4 hit 
L 34bc9c,4 hit 
S 34c0bc,4 hit 
L 30c1c0,4 miss 
S 34b980,4 hit 
L 30c1c4,4 hit 
S 34b984,4 hit 
L 30c1c8,4 hit 
S 34b988,4 hit 
L 30c1cc,4 hit 
S 34b98c,4 hit 
L 30c1d0,4 hit 
S 34b990,4 hit 
L 30c1d4,4 hit 
S 34b994,4 hit 
L 30c1d8,4 hit 
S 34b998,4 hit 
L 30c1dc,4 hit 
S 34b99c,4 hit 
L 30c2c0,4 miss 
S 34ba80,4 hit 
L 30c2c4,4 hit 
S 34ba84,4 hit 
L 30c2c8,4 hit 
S 34ba88,4 hit 
L 30c2cc,4 hit 
S 34ba8c,4 hit 
L 30c2d0,4 hit 
S 34ba90,4 hit 
L 30c2d4,4 hit 
S 34ba94,4 hit 
L 30c2d8,4 hit 
S 34ba98,4 hit 
L 30c2dc,4 hit 
S 34ba9c,4 hit 
L 30c3c0,4 miss 
S 34bb80,4 hit 
L 30c3c4,4 hit 
S 34bb84,4 hit 
L 30c3c8,4 hit 
S 34bb88,4 hit 
L 30c3cc,4 hit 
S 34bb8c,4 hit 
L 30c3d0,4 hit 
S 34bb90,4 hit 
L 30c3d4,4 hit 
S 34bb94,4 hit 
L 30c3d8,4 hit 
S 34bb98,4 hit 
L 30c3dc,4 hit 
S 34bb9c,4 hit 
L 30c4c0,4 miss 
S 34bc80,4 hit 
L 30c4c4,4 hit 
S 34bc84,4 hit 
L 30c4c8,4 hit 
S 34bc88,4 hit 
L 30c4cc,4 hit 
S 34bc8c,4 hit 
L 30c4d0,4 hit 
S 34bc90,4 hit 
L 30c4d4,4 hit 
S 34bc94,4 hit 
L 30c4d8,4 hit 
